personLabel,birthdate,birthplaceLabel,birthcoord,deathdate,deathplaceLabel,deathcoord,occupationLabel,genderLabel,bloc,dloc
Tunisha Sharma,2002-01-04T00:00:00Z,Chandigarh,Point(76.791111111 30.735277777),2022-12-24T00:00:00Z,Mumbai,Point(72.8775 19.075833333),,female,"30.735277777,76.791111111","19.075833333,72.8775"
Tunisha Sharma,2002-01-04T00:00:00Z,Chandigarh,Point(76.788333333 30.736388888),2022-12-24T00:00:00Z,Mumbai,Point(72.8775 19.075833333),,female,"30.736388888,76.788333333","19.075833333,72.8775"
S.Anitha,2000-03-05T00:00:00Z,Tamil Nadu,Point(79.0 11.0),2017-09-01T00:00:00Z,Tamil Nadu,Point(79.0 11.0),,female,"11.0,79.0","11.0,79.0"
Naga Vaishnavi,2000-01-21T00:00:00Z,Andhra Pradesh,Point(80.866666666 16.85),2010-02-02T00:00:00Z,Andhra Pradesh,Point(80.866666666 16.85),,female,"16.85,80.866666666","16.85,80.866666666"
Haidakhan Babaji,2000-01-01T00:00:00Z,Uttarakhand,Point(78.953888888 30.511111111),1984-02-14T00:00:00Z,India,Point(83.0 22.8),,male,"30.511111111,78.953888888","22.8,83.0"
Hemlata Gupta,2000-01-01T00:00:00Z,India,Point(83.0 22.8),2006-05-13T00:00:00Z,Karol Bagh Lok Sabha constituency,Point(77.19 28.65),,female,"22.8,83.0","28.65,77.19"
Khawaja Iftikhar,2000-01-01T00:00:00Z,Pakistan,Point(71.0 30.0),1998-01-01T00:00:00Z,Scotland,Point(-5.0 57.0),,male,"30.0,71.0","57.0,-5.0"
Khawaja Iftikhar,2000-01-01T00:00:00Z,Chakwal,Point(72.862944444 32.932861111),1998-01-01T00:00:00Z,Scotland,Point(-5.0 57.0),,male,"32.932861111,72.862944444","57.0,-5.0"
Taruni Sachdev,1998-05-14T00:00:00Z,Mumbai,Point(72.8775 19.075833333),2012-05-14T00:00:00Z,Jomsom,Point(83.730555555 28.783333333),,female,"19.075833333,72.8775","28.783333333,83.730555555"
Aindrila Sharma,1998-02-05T00:00:00Z,Berhampore,Point(88.25 24.1),2022-11-20T00:00:00Z,Kolkata,Point(88.37 22.5675),,female,"24.1,88.25","22.5675,88.37"
Aisha Chaudhary,1996-03-27T00:00:00Z,Delhi,Point(77.216666666 28.666666666),2015-01-24T00:00:00Z,Gurgaon,Point(77.033333333 28.466666666),,female,"28.666666666,77.216666666","28.466666666,77.033333333"
Ummer Fayaz Parray,1994-06-08T00:00:00Z,Kulgam district,Point(75.02 33.64),2017-05-01T00:00:00Z,Shopian district,Point(74.8333 33.7167),,male,"33.64,75.02","33.7167,74.8333"
Vijay Salaskar,1993-02-24T00:00:00Z,India,Point(83.0 22.8),2008-11-26T00:00:00Z,Mumbai,Point(72.8775 19.075833333),,male,"22.8,83.0","19.075833333,72.8775"
Vaishali Takkar,1992-07-15T00:00:00Z,Ujjain,Point(75.777222222 23.182777777),2022-10-15T00:00:00Z,Indore,Point(75.847222222 22.720555555),,female,"23.182777777,75.777222222","22.720555555,75.847222222"
Avi Barot,1992-06-25T00:00:00Z,Ahmedabad,Point(72.579722222 23.021944444),2021-10-15T00:00:00Z,Ahmedabad,Point(72.579722222 23.021944444),,male,"23.021944444,72.579722222","23.021944444,72.579722222"
V. J. Chitra,1992-05-02T00:00:00Z,Chennai,Point(80.275 13.0825),2020-12-09T00:00:00Z,Chennai district,Point(80.27 13.083888888),,female,"13.0825,80.275","13.083888888,80.27"
Pratyusha Banerjee,1991-08-10T00:00:00Z,Jamshedpur,Point(86.183333333 22.8),2016-04-01T00:00:00Z,Mumbai,Point(72.8775 19.075833333),,female,"22.8,86.183333333","19.075833333,72.8775"
Shubha Phutela,1991-05-05T00:00:00Z,Ludhiana,Point(75.848611111 30.908333333),2012-10-22T00:00:00Z,Ludhiana,Point(75.848611111 30.908333333),,female,"30.908333333,75.848611111","30.908333333,75.848611111"
Adnan Patrawala,1990-09-21T00:00:00Z,Mumbai,Point(72.8775 19.075833333),2007-08-19T00:00:00Z,Navi Mumbai,Point(73.01 19.03),,male,"19.075833333,72.8775","19.03,73.01"
Aditya Singh Rajput,1990-08-19T00:00:00Z,Uttarakhand,Point(78.953888888 30.511111111),2023-05-22T00:00:00Z,Mumbai,Point(72.8775 19.075833333),,male,"30.511111111,78.953888888","19.075833333,72.8775"
Divya Chouskey,1990-01-01T00:00:00Z,Bhopal,Point(77.416666666 23.25),2020-07-12T00:00:00Z,Bhopal,Point(77.416666666 23.25),,female,"23.25,77.416666666","23.25,77.416666666"
Divya Chouskey,1990-01-01T00:00:00Z,Bhopal,Point(77.40289 23.25469),2020-07-12T00:00:00Z,Bhopal,Point(77.416666666 23.25),,female,"23.25469,77.40289","23.25,77.416666666"
Divya Chouskey,1990-01-01T00:00:00Z,Bhopal,Point(77.416666666 23.25),2020-07-12T00:00:00Z,Bhopal,Point(77.40289 23.25469),,female,"23.25,77.416666666","23.25469,77.40289"
Divya Chouskey,1990-01-01T00:00:00Z,Bhopal,Point(77.40289 23.25469),2020-07-12T00:00:00Z,Bhopal,Point(77.40289 23.25469),,female,"23.25469,77.40289","23.25469,77.40289"
Bidushi Dash Barde,1989-01-01T00:00:00Z,Odisha,Point(85.5 20.15),2012-10-22T00:00:00Z,Mumbai,Point(72.8775 19.075833333),,female,"20.15,85.5","19.075833333,72.8775"
Jyoti Singh Pandey,1989-01-01T00:00:00Z,Delhi,Point(77.216666666 28.666666666),2012-12-28T00:00:00Z,Singapore,Point(103.8 1.3),,female,"28.666666666,77.216666666","1.3,103.8"
Jyoti Singh Pandey,1989-01-01T00:00:00Z,Delhi,Point(77.216666666 28.666666666),2012-12-29T00:00:00Z,Singapore,Point(103.8 1.3),,female,"28.666666666,77.216666666","1.3,103.8"
Aditya Dev,1988-11-01T00:00:00Z,Phagwara,Point(75.47 31.13),2012-09-13T00:00:00Z,Jalandhar,Point(75.579166666 31.325555555),,male,"31.13,75.47","31.325555555,75.579166666"
Ishmeet Singh,1988-09-02T00:00:00Z,Ludhiana,Point(75.848611111 30.908333333),2008-07-29T00:00:00Z,Malï¿,Point(73.508333333 4.175),,male,"30.908333333,75.848611111","4.175,73.508333333"
